Number of evaluations : 3894
0.0000000000e+00, 1.0000000000e+01, 0.0000000000e+00
1.0000000000e-01, 9.9998500217e+00, -2.9994301130e-03
2.0000000000e-01, 9.9994001679e+00, -5.9972414910e-03
3.0000000000e-01, 9.9986506812e+00, -8.9918192311e-03
4.0000000000e-01, 9.9976019655e+00, -1.1981556075e-02
5.0000000000e-01, 9.9962545846e+00, -1.4964856187e-02
6.0000000000e-01, 9.9946092615e+00, -1.7940138868e-02
7.0000000000e-01, 9.9926668762e+00, -2.0905842209e-02
8.0000000000e-01, 9.9904284637e+00, -2.3860426637e-02
9.0000000000e-01, 9.9878952120e+00, -2.6802378369e-02
1.0000000000e+00, 9.9850684587e+00, -2.9730212733e-02
1.1000000000e+00, 9.9819496884e+00, -3.2642477349e-02
1.2000000000e+00, 9.9785405295e+00, -3.5537755169e-02
1.3000000000e+00, 9.9748427496e+00, -3.8414667343e-02
1.4000000000e+00, 9.9708582528e+00, -4.1271875911e-02
1.5000000000e+00, 9.9665890745e+00, -4.4108086320e-02
1.6000000000e+00, 9.9620373772e+00, -4.6922049732e-02
1.7000000000e+00, 9.9572054462e+00, -4.9712565145e-02
1.8000000000e+00, 9.9520956842e+00, -5.2478481304e-02
1.9000000000e+00, 9.9467106066e+00, -5.5218698400e-02
2.0000000000e+00, 9.9410528361e+00, -5.7932169558e-02
2.1000000000e+00, 9.9351250974e+00, -6.0617902118e-02
2.2000000000e+00, 9.9289302116e+00, -6.3274958690e-02
2.3000000000e+00, 9.9224710909e+00, -6.5902458010e-02
2.4000000000e+00, 9.9157507328e+00, -6.8499575580e-02
2.5000000000e+00, 9.9087722142e+00, -7.1065544102e-02
2.6000000000e+00, 9.9015386860e+00, -7.3599653719e-02
2.7000000000e+00, 9.8940533672e+00, -7.6101252054e-02
2.8000000000e+00, 9.8863195392e+00, -7.8569744065e-02
2.9000000000e+00, 9.8783405399e+00, -8.1004591724e-02
3.0000000000e+00, 9.8701197584e+00, -8.3405313520e-02
3.1000000000e+00, 9.8616606290e+00, -8.5771483802e-02
3.2000000000e+00, 9.8529666258e+00, -8.8102731972e-02
3.3000000000e+00, 9.8440412573e+00, -9.0398741533e-02
3.4000000000e+00, 9.8348880610e+00, -9.2659249007e-02
3.5000000000e+00, 9.8255105980e+00, -9.4884042733e-02
3.6000000000e+00, 9.8159124483e+00, -9.7072961554e-02
3.7000000000e+00, 9.8060972053e+00, -9.9225893402e-02
3.8000000000e+00, 9.7960684714e+00, -1.0134277380e-01
3.9000000000e+00, 9.7858298529e+00, -1.0342358427e-01
4.0000000000e+00, 9.7753849560e+00, -1.0546835071e-01
4.1000000000e+00, 9.7647373820e+00, -1.0747714166e-01
4.2000000000e+00, 9.7538907233e+00, -1.0945006660e-01
4.3000000000e+00, 9.7428485593e+00, -1.1138727409e-01
4.4000000000e+00, 9.7316144529e+00, -1.1328895001e-01
