Number of evaluations : 109920
0.0000000000e+00, 1.0000000000e+00, 1.0000000000e+00, 1.0000000000e+00
1.0000000000e-02, 1.0125657329e+00, 1.2599200264e+00, 9.8489104499e-01
2.0000000000e-02, 1.0488214555e+00, 1.5240008492e+00, 9.7311433916e-01
3.0000000000e-02, 1.1072062799e+00, 1.7983146123e+00, 9.6515909177e-01
4.0000000000e-02, 1.1868654630e+00, 2.0885455725e+00, 9.6173736534e-01
5.0000000000e-02, 1.2875547699e+00, 2.4001604475e+00, 9.6380618724e-01
6.0000000000e-02, 1.4095688164e+00, 2.7385521057e+00, 9.7260826393e-01
7.0000000000e-02, 1.5536888010e+00, 3.1091610076e+00, 9.8973117961e-01
8.0000000000e-02, 1.7211458083e+00, 3.5175771475e+00, 1.0171865429e+00
9.0000000000e-02, 1.9135964120e+00, 3.9696235165e+00, 1.0575118417e+00
1.0000000000e-01, 2.1331076183e+00, 4.4714201770e+00, 1.1138988864e+00
1.1000000000e-01, 2.3821482842e+00, 5.0294257496e+00, 1.1903537020e+00
1.2000000000e-01, 2.6635839752e+00, 5.6504502649e+00, 1.2918935234e+00
1.3000000000e-01, 2.9806717763e+00, 6.3416296876e+00, 1.4247870105e+00
1.4000000000e-01, 3.3370507563e+00, 7.1103477069e+00, 1.5968436621e+00
1.5000000000e-01, 3.7367225467e+00, 7.9640843035e+00, 1.8177571709e+00
1.6000000000e-01, 4.1840147098e+00, 8.9101628922e+00, 2.0995043890e+00
1.7000000000e-01, 4.6835171422e+00, 9.9553583721e+00, 2.4567954648e+00
1.8000000000e-01, 5.2399785806e+00, 1.1105317404e+01, 2.9075598843e+00
1.9000000000e-01, 5.8581463123e+00, 1.2363730643e+01, 3.4734352277e+00
2.0000000000e-01, 6.5425275552e+00, 1.3731186713e+01, 4.1801974131e+00
2.1000000000e-01, 7.2970460902e+00, 1.5203634032e+01, 5.0580296543e+00
